region_id,x,y
4,-23421.773,	-41616.064
4,-21635.861,	-42046.765
4,-21667.723,	-42247.493
4,-23470.967,	-41792.217
5,-23596.959,	-41897.967
5,-21819.25,	-42344.408
5,-21845.462,	-42486.859
5,-23625.866,	-42051.405
6,-21018.808,	-42570.781
6,-21044.502,	-42660.556
6,-20637.131,	-42782.23
6,-20611.094,	-42682.27
7,-21040.735,	-42213.295
7,-20521.286,	-42426.131
7,-20537.13,-42479.683
7,-21075.152,	-42317.583
8,-21374.857,	-42277.636
8,-21154.815,	-42314.267
8,-21178.624,	-42400.41
8,-21389.623,	-42392.013
